score,KC_factor,projections,hash_dims,flattening
0.38999,1.0,8.0,40.0,log10
0.34517,2.0,18.0,80.0,log2
0.33467,6.0,16.0,240.0,log2
0.32184,2.0,16.0,80.0,log2
0.30406,1.0,8.0,40.0,log2
0.29026,1.0,20.0,80.0,log10
0.26523,1.0,14.0,120.0,log10
0.25729,1.0,8.0,120.0,log10
0.25475,1.0,14.0,40.0,log2
0.25313,6.0,10.0,240.0,log10
0.25016,2.0,8.0,80.0,log2
0.24884,4.0,16.0,480.0,log10
0.24697,1.0,8.0,160.0,log10
0.24593,1.0,16.0,40.0,log
0.23007,1.0,12.0,200.0,log2
0.22213,4.0,8.0,320.0,log10
0.22021,1.0,12.0,80.0,log
0.21898,4.0,14.0,160.0,log10
0.21659,2.0,10.0,320.0,log10
0.2161,1.0,12.0,40.0,log2
0.21126,1.0,10.0,80.0,log10
0.21026,2.0,16.0,80.0,log
0.20723,4.0,20.0,320.0,log
0.19432,1.0,14.0,40.0,log10
0.19033,1.0,6.0,80.0,log2
0.18513,8.0,10.0,320.0,log
0.18497,8.0,18.0,320.0,log10
0.18466,4.0,6.0,160.0,log10
0.17779,1.0,12.0,120.0,log10
0.1772,6.0,12.0,240.0,log
0.17665,1.0,14.0,160.0,log2
0.17238,1.0,10.0,40.0,log
0.16635,2.0,12.0,160.0,log10
0.16171,6.0,10.0,240.0,log2
0.16099,2.0,6.0,400.0,log10
0.1596,4.0,14.0,160.0,log2
0.15784,2.0,12.0,400.0,log
0.15428,2.0,6.0,80.0,log2
0.15086,8.0,12.0,640.0,log10
0.14887,4.0,20.0,480.0,log2
0.14756,4.0,12.0,160.0,log10
0.1469,1.0,14.0,160.0,log
0.14613,6.0,20.0,480.0,log10
0.14283,1.0,8.0,200.0,log
0.13972,2.0,6.0,320.0,log
0.13868,2.0,12.0,240.0,log
0.13519,1.0,10.0,200.0,log
0.13481,6.0,18.0,240.0,log10
0.13461,6.0,20.0,240.0,log10
0.13254,4.0,6.0,800.0,log
0.12806,2.0,14.0,80.0,log2
0.12584,8.0,8.0,640.0,log
0.12462,10.0,18.0,800.0,log10
0.12235,8.0,12.0,960.0,log10
0.12206,4.0,10.0,480.0,log2
0.12,8.0,8.0,320.0,log2
0.11927,1.0,10.0,40.0,log2
0.11925,4.0,8.0,320.0,log2
0.11892,2.0,20.0,400.0,log
0.1182,8.0,10.0,1280.0,log2
0.11778,1.0,14.0,80.0,log2
0.11619,2.0,6.0,160.0,log10
0.11518,6.0,14.0,960.0,log
0.11459,1.0,6.0,160.0,log2
0.11459,2.0,10.0,80.0,log10
0.11442,4.0,12.0,480.0,log10
0.1114,2.0,14.0,400.0,log10
0.11119,6.0,18.0,480.0,log
0.11042,1.0,12.0,120.0,log2
0.10998,2.0,20.0,400.0,log10
0.10909,6.0,14.0,240.0,log10
0.10741,6.0,16.0,720.0,log2
0.10598,4.0,8.0,160.0,log2
0.10501,2.0,12.0,160.0,log
0.10212,2.0,10.0,240.0,log2
0.10205,6.0,10.0,480.0,log
0.10197,6.0,14.0,720.0,log2
0.10046,2.0,16.0,240.0,log10
0.09926,2.0,12.0,240.0,log10
0.09911,4.0,18.0,320.0,log2
0.09887,8.0,10.0,1600.0,log10
0.09835,6.0,16.0,240.0,log
0.09706,6.0,8.0,720.0,log10
0.09699,8.0,18.0,640.0,log10
0.09684,2.0,20.0,80.0,log10
0.09646,4.0,20.0,480.0,log
0.09585,4.0,18.0,480.0,log2
0.09585,6.0,8.0,720.0,log2
0.09579,1.0,14.0,120.0,log
0.09534,4.0,20.0,160.0,log2
0.09321,2.0,8.0,240.0,log10
0.09283,6.0,8.0,960.0,log10
0.09253,4.0,6.0,320.0,log10
0.09246,2.0,18.0,80.0,log
0.09215,1.0,6.0,80.0,log
0.09155,2.0,16.0,240.0,log2
0.09147,1.0,14.0,200.0,log2
0.09057,8.0,12.0,1280.0,log2
0.09041,1.0,18.0,200.0,log10
0.09034,2.0,12.0,320.0,log
0.09003,2.0,18.0,160.0,log
0.08762,10.0,14.0,1200.0,log
0.08761,4.0,10.0,320.0,log10
0.08716,2.0,12.0,240.0,log2
0.08611,4.0,16.0,640.0,log10
0.08604,8.0,12.0,1280.0,log
0.08536,6.0,18.0,720.0,log10
0.0852,4.0,8.0,640.0,log
0.08496,4.0,16.0,160.0,log10
0.08277,2.0,10.0,160.0,log10
0.08158,6.0,18.0,1200.0,log10
0.08125,1.0,20.0,120.0,log10
0.0812,4.0,20.0,800.0,log2
0.08083,2.0,12.0,80.0,log10
0.08,10.0,6.0,1600.0,log
0.07925,10.0,6.0,2000.0,log2
0.0787,1.0,10.0,200.0,log10
0.07795,1.0,20.0,200.0,log2
0.07774,6.0,14.0,240.0,log2
0.07705,4.0,10.0,800.0,log
0.07479,6.0,12.0,480.0,log10
0.07297,8.0,14.0,640.0,log10
0.07259,10.0,20.0,400.0,log10
0.07221,6.0,6.0,720.0,log2
0.07177,10.0,16.0,400.0,log
0.07108,10.0,10.0,1200.0,log10
0.07032,10.0,12.0,800.0,log2
0.06995,6.0,8.0,240.0,log
0.06819,10.0,8.0,1600.0,log2
0.06724,8.0,16.0,1600.0,log2
0.06617,8.0,6.0,1280.0,log10
0.06566,6.0,16.0,960.0,log
0.06561,6.0,18.0,240.0,log
0.06541,4.0,20.0,480.0,log10
0.06354,1.0,6.0,120.0,log2
0.06214,8.0,14.0,1280.0,log10
0.06164,6.0,14.0,480.0,log10
0.06157,4.0,20.0,800.0,log
0.06126,4.0,8.0,800.0,log2
0.0612,10.0,12.0,1200.0,log
0.0612,8.0,16.0,320.0,log2
0.0605,8.0,10.0,640.0,log10
0.06038,8.0,20.0,640.0,log2
0.05975,6.0,18.0,480.0,log2
0.05962,4.0,8.0,640.0,log2
0.0595,1.0,14.0,120.0,log2
0.05931,4.0,14.0,800.0,log
0.05912,8.0,12.0,320.0,log2
0.05887,4.0,18.0,480.0,log10
0.05874,2.0,6.0,160.0,log2
0.05811,2.0,14.0,160.0,log10
0.05786,2.0,16.0,320.0,log2
0.05735,1.0,16.0,40.0,log2
0.05735,10.0,16.0,400.0,log2
0.05667,4.0,8.0,640.0,log10
