score,KC_factor,projections,hash_dims,flattening
0.48966,1.0,20.0,16.0,log2
0.473,1.0,6.0,16.0,log2
0.41814,1.0,8.0,16.0,log2
0.36821,2.0,12.0,96.0,log
0.34937,1.0,18.0,80.0,log2
0.34316,2.0,8.0,96.0,log
0.33823,1.0,6.0,48.0,log
0.32552,1.0,10.0,80.0,log
0.32104,1.0,12.0,80.0,log10
0.31618,1.0,8.0,16.0,log
0.31611,1.0,10.0,80.0,log2
0.31179,4.0,8.0,64.0,log2
0.30814,2.0,14.0,32.0,log10
0.30276,1.0,6.0,80.0,log
0.29707,10.0,6.0,160.0,log
0.28073,1.0,20.0,64.0,log10
0.26283,2.0,14.0,64.0,log
0.26255,2.0,10.0,32.0,log10
0.26184,6.0,12.0,192.0,log
0.2594,1.0,20.0,16.0,log
0.25094,1.0,14.0,32.0,log
0.24869,1.0,16.0,16.0,log
0.2475,2.0,18.0,64.0,log
0.24064,6.0,6.0,288.0,log10
0.23705,2.0,12.0,32.0,log10
0.23679,2.0,16.0,64.0,log2
0.23673,2.0,18.0,32.0,log10
0.22945,4.0,20.0,64.0,log10
0.22875,1.0,6.0,32.0,log
0.22669,1.0,16.0,48.0,log
0.22101,2.0,16.0,160.0,log2
0.21974,4.0,20.0,64.0,log
0.21962,2.0,20.0,96.0,log10
0.21923,2.0,6.0,64.0,log10
0.21786,8.0,20.0,256.0,log10
0.2161,8.0,8.0,256.0,log2
0.21547,4.0,20.0,192.0,log
0.21509,6.0,14.0,192.0,log10
0.21469,6.0,8.0,96.0,log2
0.21356,4.0,20.0,256.0,log
0.2059,10.0,14.0,480.0,log10
0.20562,6.0,16.0,96.0,log2
0.20459,2.0,16.0,96.0,log2
0.20009,2.0,14.0,96.0,log
0.19909,1.0,10.0,32.0,log
0.19768,2.0,18.0,64.0,log2
0.19723,2.0,12.0,32.0,log2
0.19658,4.0,6.0,192.0,log
0.19655,1.0,20.0,80.0,log2
0.19582,2.0,10.0,128.0,log2
0.1948,2.0,6.0,32.0,log10
0.19408,10.0,20.0,160.0,log2
0.19257,10.0,12.0,160.0,log
0.1918,1.0,8.0,32.0,log2
0.19118,2.0,16.0,96.0,log
0.18807,1.0,18.0,32.0,log10
0.18732,1.0,18.0,16.0,log2
0.18716,1.0,8.0,80.0,log10
0.18615,10.0,8.0,320.0,log
0.1854,4.0,6.0,320.0,log
0.18502,8.0,6.0,512.0,log2
0.18491,8.0,8.0,640.0,log2
0.18429,2.0,14.0,96.0,log2
0.18411,1.0,6.0,64.0,log2
0.1834,6.0,10.0,288.0,log10
0.18222,2.0,12.0,32.0,log
0.18222,8.0,20.0,256.0,log
0.18022,6.0,14.0,288.0,log10
0.18012,1.0,6.0,80.0,log2
0.17984,4.0,6.0,256.0,log10
0.1791,2.0,18.0,64.0,log10
0.17706,2.0,16.0,32.0,log2
0.1765,2.0,14.0,160.0,log
0.17499,1.0,20.0,64.0,log2
0.17466,6.0,14.0,288.0,log2
0.17407,10.0,6.0,320.0,log10
0.17337,4.0,18.0,192.0,log
0.17233,1.0,20.0,48.0,log10
0.16732,10.0,8.0,480.0,log10
0.16673,10.0,12.0,160.0,log2
0.16652,10.0,6.0,640.0,log10
0.16652,10.0,18.0,160.0,log10
0.16522,4.0,6.0,128.0,log10
0.16484,4.0,8.0,256.0,log2
0.16223,1.0,20.0,80.0,log
0.16106,10.0,10.0,320.0,log
0.15986,10.0,20.0,160.0,log10
0.15965,6.0,8.0,384.0,log10
0.15907,10.0,6.0,160.0,log10
0.1579,4.0,16.0,64.0,log
0.15565,1.0,14.0,64.0,log
0.1554,8.0,6.0,256.0,log2
0.15527,2.0,8.0,128.0,log
0.15477,4.0,18.0,64.0,log10
0.15472,8.0,14.0,384.0,log2
0.1534,1.0,10.0,48.0,log2
0.15325,1.0,10.0,80.0,log10
0.1522,6.0,6.0,192.0,log
0.1509,6.0,6.0,96.0,log
0.14935,10.0,8.0,320.0,log10
0.14841,2.0,8.0,96.0,log10
0.14785,2.0,10.0,160.0,log10
0.14615,10.0,10.0,480.0,log2
0.1451,10.0,10.0,320.0,log2
0.14459,1.0,16.0,16.0,log10
0.14387,10.0,6.0,320.0,log2
0.1436,6.0,14.0,96.0,log
0.14349,4.0,18.0,320.0,log2
0.14227,2.0,14.0,128.0,log
0.14161,6.0,20.0,480.0,log2
0.14097,1.0,10.0,32.0,log10
0.14057,8.0,16.0,384.0,log
0.13859,8.0,12.0,256.0,log
0.1366,4.0,14.0,256.0,log10
0.13651,6.0,12.0,96.0,log10
0.13527,2.0,8.0,64.0,log10
0.13423,2.0,6.0,128.0,log10
0.13235,4.0,10.0,256.0,log
0.13195,1.0,14.0,80.0,log10
0.13012,1.0,6.0,16.0,log10
0.1296,4.0,12.0,64.0,log
0.12933,4.0,8.0,320.0,log2
0.12903,2.0,6.0,64.0,log2
0.12877,6.0,12.0,384.0,log10
0.1283,8.0,10.0,128.0,log
0.12714,6.0,14.0,96.0,log10
0.12622,10.0,16.0,320.0,log10
0.12593,6.0,10.0,192.0,log
0.12584,4.0,8.0,192.0,log2
0.12453,10.0,16.0,480.0,log
0.12453,10.0,12.0,800.0,log10
0.12433,4.0,8.0,64.0,log10
0.12172,2.0,8.0,160.0,log2
0.12169,8.0,18.0,256.0,log10
0.12147,1.0,10.0,32.0,log2
0.12047,8.0,14.0,384.0,log
0.12026,4.0,8.0,192.0,log10
0.11962,2.0,6.0,32.0,log2
0.11791,10.0,6.0,480.0,log10
0.11674,2.0,12.0,160.0,log2
0.11611,4.0,8.0,192.0,log
0.11314,4.0,14.0,64.0,log10
0.11271,4.0,10.0,192.0,log
0.11224,2.0,6.0,160.0,log2
0.11213,2.0,12.0,64.0,log10
0.10952,6.0,20.0,192.0,log2
0.10952,8.0,8.0,512.0,log2
0.10939,6.0,12.0,288.0,log2
