FF_start = (2,  10000,6,5)
FF_end   = (100,10000,6,5)

- critical point (cp) at pn_size = proj_size
- after cp: initially long extend_time: many connections, but everything
	is full. 
- more PNs ~ less avg. connections ~ less new connections ~ shorter extend_time
- extend_time converges to ~0.04s
- average converges as predicted
- std_dev decreases steadily from cp on
- very high std_dev at cp: all KCs are full, so new connections have to 
	be stolen (-> extend_time) and that happens on the basis of PN popularity. 


extend_time 	pn_size	avgerage	variance		std_dev

0.056323		3		9841.0		121.0			11.0
0.061051		4		9841.0		80.6667			8.9815
0.068483		5		9841.0		60.5			7.7782
0.06429			6		9841.0		48.4			6.957
1.621762		7		8565.1429	316519.1429		562.6003
1.389281		8		7498.625	185658.2679		430.8808
1.089349		9		6666.5556	97214.2778		311.792
0.900633		10		5999.9		54776.5444		234.0439
0.748394		11		5454.5455	32607.4727		180.5754
0.641705		12		5000.0		20441.4545		142.9736
0.57056			13		4615.3846	13354.9231		115.5635
0.497111		14		4285.7143	8982.5275		94.7762
0.455626		15		4000.0		6216.4286		78.8443
0.396483		16		3750.0		4444.6667		66.6683
0.364158		17		3529.4118	3231.5074		56.8463
0.331443		18		3333.3333	2384.7059		48.8335
0.298869		19		3157.8947	1798.2105		42.4053
0.284932		20		3000.0		1365.7895		36.9566
0.258211		21		2857.1429	1071.5286		32.7342
0.244951		22		2727.2727	839.8268		28.9798
0.225867		23		2608.6957	665.3123		25.7936
0.221867		24		2500.0		529.3913		23.0085
0.201467		25		2400.0		434.1667		20.8367
0.199217		26		2307.6923	354.5415		18.8293
0.188046		27		2222.2222	287.1795		16.9464
0.178423		28		2142.8571	240.7196		15.5151
0.17274			29		2068.9655	197.5345		14.0547
0.16357			30		2000.0		165.2414		12.8546
0.154712		31		1935.4839	143.5914		11.983
0.159412		32		1875.0		120.129			10.9603
0.150761		33		1818.1818	104.2784		10.2117
0.142049		34		1764.7059	88.82			9.4244
0.137044		35		1714.2857	75.0924			8.6656
0.138407		36		1666.6667	66.0571			8.1276
0.133679		37		1621.6216	56.5195			7.5179
0.12588			38		1578.9474	49.2945			7.021
0.126177		39		1538.4615	42.4656			6.5166
0.119874		40		1500.0		38.1026			6.1727
0.117431		41		1463.4146	34.5488			5.8778
0.116064		42		1428.5714	29.8606			5.4645
0.118218		43		1395.3488	26.2802			5.1264
0.103908		44		1363.6364	23.5391			4.8517
0.113173		45		1333.3333	20.7273			4.5527
0.102105		46		1304.3478	18.8986			4.3472
0.104471		47		1276.5957	16.9852			4.1213
0.105188		48		1250.0		14.9362			3.8647
0.095886		49		1224.4898	14.0884			3.7535
0.102302		50		1200.0		12.2857			3.5051
0.088694		51		1176.4706	11.4141			3.3785
0.098018		52		1153.8462	10.0543			3.1709
0.089788		53		1132.0755	8.8019			2.9668
0.095874		54		1111.1111	8.6667			2.9439
0.087876		55		1090.9091	7.862			2.8039
0.090179		56		1071.4286	6.5039			2.5503
0.084764		57		1052.6316	6.344			2.5187
0.09467			58		1034.4828	5.7629			2.4006
0.079744		59		1016.9492	5.325			2.3076
0.090205		60		1000.0		4.678			2.1629
0.077598		61		983.6066	4.8093			2.193
0.084161		62		967.7419	4.129			2.032
0.076075		63		952.381		3.7235			1.9296
0.083033		64		937.5		3.5873			1.894
0.076514		65		923.0769	3.3846			1.8397
0.083182		66		909.0909	3.2224			1.7951
0.073921		67		895.5224	3.0412			1.7439
0.07966			68		882.3529	2.59			1.6093
0.074075		69		869.5652	2.5729			1.604
0.079484		70		857.1429	2.3271			1.5255
0.075412		71		845.0704	2.2664			1.5055
0.07973			72		833.3333	2.1127			1.4535
0.071133		73		821.9178	1.9654			1.4019
0.080064		74		810.8108	1.6623			1.2893
0.069058		75		800.0		1.5946			1.2628
0.076121		76		789.4737	1.7726			1.3314
0.068455		77		779.2208	1.4901			1.2207
0.077137		78		769.2308	1.4006			1.1835
0.068111		79		759.4937	1.4327			1.1969
0.073348		80		750.0		1.1899			1.0908
0.067108		81		740.7407	1.3194			1.1487
0.076872		82		731.7073	1.1232			1.0598
0.065757		83		722.8916	1.0247			1.0123
0.072766		84		714.2857	0.9294			0.9641
0.066166		85		705.8824	1.0098			1.0049
0.070809		86		697.6744	0.881			0.9386
0.065503		87		689.6552	0.8797			0.9379
0.072538		88		681.8182	0.8171			0.904
0.062967		89		674.1573	0.7704			0.8777
0.072964		90		666.6667	0.8764			0.9362
0.063854		91		659.3407	0.7827			0.8847
0.073133		92		652.1739	0.6727			0.8202
0.061124		93		645.1613	0.7889			0.8882
0.070406		94		638.2979	0.7275			0.8529
0.062615		95		631.5789	0.7144			0.8452
0.071006		96		625.0		0.6105			0.7814
0.060734		97		618.5567	0.7077			0.8412
0.069191		98		612.2449	0.558			0.747
0.066165		99		606.0606	0.5677			0.7535
0.070109		100		600.0		0.5859			0.7654
