improvement: 0.2016098811690481 with configuration: {'pn_size': 4000, 'kc_size': 8000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.1900306483880888 with configuration: {'pn_size': 4000, 'kc_size': 8000, 'proj_size': 11, 'hash_percent': 5}
improvement: 0.18989123028809374 with configuration: {'pn_size': 4000, 'kc_size': 60000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.1895819203371747 with configuration: {'pn_size': 4000, 'kc_size': 20000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.1873453801851952 with configuration: {'pn_size': 4000, 'kc_size': 16000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.18629744047702668 with configuration: {'pn_size': 4000, 'kc_size': 40000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.18371772479627424 with configuration: {'pn_size': 4000, 'kc_size': 72000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.18358691096266805 with configuration: {'pn_size': 4000, 'kc_size': 52000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.18338214572129208 with configuration: {'pn_size': 4000, 'kc_size': 64000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.1833481403463692 with configuration: {'pn_size': 4000, 'kc_size': 32000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.18277861895083497 with configuration: {'pn_size': 4000, 'kc_size': 28000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.1818162614378166 with configuration: {'pn_size': 4000, 'kc_size': 56000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.1802564291871575 with configuration: {'pn_size': 4000, 'kc_size': 24000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.17965773308731642 with configuration: {'pn_size': 4000, 'kc_size': 12000, 'proj_size': 7, 'hash_percent': 5}
improvement: 0.17928039150941721 with configuration: {'pn_size': 4000, 'kc_size': 44000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.17899886430545187 with configuration: {'pn_size': 4000, 'kc_size': 80000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.1783129918431774 with configuration: {'pn_size': 4000, 'kc_size': 48000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.17783504317281434 with configuration: {'pn_size': 4000, 'kc_size': 64000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.17723403260160947 with configuration: {'pn_size': 4000, 'kc_size': 24000, 'proj_size': 6, 'hash_percent': 5}
improvement: 0.17639259546348818 with configuration: {'pn_size': 4000, 'kc_size': 44000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.17522941591451613 with configuration: {'pn_size': 4000, 'kc_size': 68000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.17516560805230602 with configuration: {'pn_size': 4000, 'kc_size': 28000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.1744595862602749 with configuration: {'pn_size': 4000, 'kc_size': 12000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.17416061085302442 with configuration: {'pn_size': 4000, 'kc_size': 72000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.17409636384671373 with configuration: {'pn_size': 4000, 'kc_size': 48000, 'proj_size': 5, 'hash_percent': 5}
improvement: 0.173528586220772 with configuration: {'pn_size': 4000, 'kc_size': 8000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.17300382283171956 with configuration: {'pn_size': 4000, 'kc_size': 60000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.17299785595921013 with configuration: {'pn_size': 4000, 'kc_size': 36000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.17288691167381903 with configuration: {'pn_size': 4000, 'kc_size': 76000, 'proj_size': 4, 'hash_percent': 5}
improvement: 0.1728200907169255 with configuration: {'pn_size': 4000, 'kc_size': 68000, 'proj_size': 6, 'hash_percent': 5}
improvement: 0.1722746860913939 with configuration: {'pn_size': 4000, 'kc_size': 32000, 'proj_size': 8, 'hash_percent': 5}
improvement: 0.1721841800655114 with configuration: {'pn_size': 4000, 'kc_size': 44000, 'proj_size': 6, 'hash_percent': 5}
improvement: 0.17207706172724369 with configuration: {'pn_size': 4000, 'kc_size': 40000, 'proj_size': 4, 'hash_percent': 5}
