score,KC_factor,projections,hash_dims,flattening
0.15032,2.0,20.0,2400.0,log
0.14755,4.0,16.0,3200.0,log
0.14691,4.0,20.0,3200.0,log
0.14672,1.0,18.0,1200.0,log2
0.14658,4.0,20.0,4800.0,log2
0.14547,8.0,20.0,9600.0,log
0.1454,2.0,20.0,1600.0,log10
0.1453,1.0,20.0,800.0,log2
0.14492,2.0,18.0,1600.0,log10
0.14483,8.0,16.0,9600.0,log10
0.14463,2.0,14.0,3200.0,log10
0.14402,8.0,20.0,9600.0,log10
0.14393,6.0,18.0,4800.0,log2
0.14393,2.0,16.0,2400.0,log10
0.14391,8.0,18.0,9600.0,log
0.14387,4.0,20.0,6400.0,log
0.14377,4.0,16.0,3200.0,log2
0.14377,6.0,20.0,4800.0,log10
0.14369,4.0,18.0,4800.0,log2
0.14359,2.0,18.0,3200.0,log10
0.14356,4.0,14.0,6400.0,log2
0.14347,6.0,20.0,4800.0,log
0.14347,6.0,18.0,9600.0,log10
0.14339,2.0,16.0,2400.0,log
0.14308,6.0,18.0,4800.0,log
0.14307,4.0,18.0,3200.0,log10
0.14306,2.0,20.0,2400.0,log2
0.14301,4.0,20.0,3200.0,log2
0.14298,4.0,16.0,3200.0,log10
0.14296,6.0,18.0,7200.0,log10
0.1428,8.0,20.0,6400.0,log
0.14275,2.0,20.0,1600.0,log
0.14267,6.0,18.0,7200.0,log2
0.14249,8.0,20.0,6400.0,log2
0.14242,8.0,20.0,6400.0,log10
0.14229,4.0,18.0,3200.0,log2
0.14229,8.0,18.0,9600.0,log2
0.14227,6.0,20.0,7200.0,log10
0.14215,8.0,18.0,6400.0,log10
0.14203,6.0,18.0,7200.0,log
0.14194,2.0,18.0,1600.0,log2
0.14178,4.0,18.0,6400.0,log2
0.14172,6.0,12.0,7200.0,log2
0.14155,2.0,20.0,2400.0,log10
0.14149,6.0,16.0,7200.0,log10
0.14146,4.0,14.0,3200.0,log2
0.14134,2.0,18.0,2400.0,log
0.14134,8.0,20.0,12800.0,log10
0.1413,6.0,20.0,7200.0,log
0.14121,6.0,20.0,4800.0,log2
0.14111,2.0,10.0,2400.0,log10
0.14098,4.0,16.0,4800.0,log10
0.1409,2.0,18.0,1600.0,log
0.14088,2.0,16.0,1600.0,log
0.14087,2.0,12.0,1600.0,log
0.14084,4.0,20.0,3200.0,log10
0.14081,6.0,14.0,7200.0,log
0.1408,1.0,16.0,2000.0,log10
0.14079,1.0,18.0,1200.0,log
0.14073,1.0,14.0,1600.0,log10
0.14066,8.0,16.0,9600.0,log2
0.14061,1.0,20.0,1200.0,log10
0.14052,4.0,20.0,6400.0,log2
0.14047,4.0,18.0,4800.0,log10
0.14044,1.0,12.0,1600.0,log
0.1404,6.0,18.0,4800.0,log10
0.14039,2.0,14.0,1600.0,log
0.14036,4.0,16.0,4800.0,log2
0.14032,4.0,18.0,8000.0,log
0.14029,4.0,20.0,4800.0,log
0.14026,6.0,20.0,7200.0,log2
0.1402,2.0,18.0,2400.0,log10
0.14014,4.0,18.0,4800.0,log
0.14012,1.0,20.0,800.0,log
0.14008,8.0,16.0,6400.0,log
0.14005,6.0,14.0,4800.0,log
0.14004,6.0,16.0,4800.0,log2
0.13996,1.0,16.0,1600.0,log10
0.13993,4.0,10.0,4800.0,log10
0.13985,8.0,16.0,12800.0,log2
0.13971,1.0,10.0,800.0,log
0.13964,6.0,18.0,9600.0,log2
0.13954,8.0,16.0,6400.0,log2
0.13948,4.0,20.0,6400.0,log10
0.13943,4.0,20.0,4800.0,log10
0.13935,8.0,18.0,12800.0,log10
0.13916,6.0,20.0,9600.0,log10
0.13911,2.0,20.0,3200.0,log10
0.13909,8.0,20.0,12800.0,log
0.13907,1.0,20.0,1600.0,log2
0.13902,4.0,14.0,4800.0,log2
0.13892,8.0,14.0,12800.0,log2
0.1389,6.0,20.0,9600.0,log2
0.13889,8.0,14.0,9600.0,log2
0.13871,1.0,20.0,1200.0,log
0.13853,2.0,18.0,4000.0,log
0.13848,2.0,20.0,3200.0,log2
0.13848,2.0,18.0,4000.0,log2
0.13847,8.0,18.0,6400.0,log2
0.13841,6.0,14.0,7200.0,log10
0.1384,6.0,16.0,7200.0,log2
0.13833,8.0,16.0,9600.0,log
0.13825,8.0,12.0,9600.0,log
0.13821,8.0,20.0,12800.0,log2
0.13821,1.0,12.0,1200.0,log10
0.13819,6.0,10.0,7200.0,log10
0.13818,1.0,16.0,1200.0,log2
0.13814,6.0,16.0,7200.0,log
0.1381,6.0,14.0,4800.0,log10
0.13797,8.0,18.0,12800.0,log
0.13797,8.0,18.0,12800.0,log2
0.13791,4.0,14.0,4800.0,log
0.13785,6.0,12.0,4800.0,log10
0.13777,1.0,20.0,1200.0,log2
0.13763,6.0,16.0,4800.0,log10
0.13762,8.0,16.0,6400.0,log10
0.13756,6.0,12.0,4800.0,log
0.13756,1.0,20.0,800.0,log10
0.13747,4.0,12.0,4800.0,log2
0.13745,4.0,14.0,6400.0,log
0.13744,6.0,14.0,7200.0,log2
0.13734,6.0,16.0,4800.0,log
0.13725,6.0,20.0,9600.0,log
0.13723,2.0,14.0,2400.0,log
0.13716,2.0,10.0,2400.0,log2
0.13704,8.0,14.0,12800.0,log10
0.13702,6.0,8.0,4800.0,log10
0.13701,8.0,14.0,9600.0,log10
0.137,4.0,16.0,6400.0,log2
0.13699,4.0,18.0,3200.0,log
0.13683,2.0,16.0,1600.0,log2
0.13676,2.0,20.0,4000.0,log
0.13672,6.0,16.0,9600.0,log
0.13667,6.0,18.0,12000.0,log
0.13666,2.0,20.0,1600.0,log2
0.13664,2.0,16.0,3200.0,log2
0.1366,6.0,16.0,9600.0,log10
0.13654,8.0,18.0,9600.0,log10
0.13623,1.0,18.0,1600.0,log2
0.13622,8.0,14.0,9600.0,log
0.13622,6.0,12.0,7200.0,log10
0.1362,2.0,14.0,2400.0,log2
0.13618,8.0,18.0,6400.0,log
0.13618,4.0,14.0,3200.0,log10
