score,KC_factor,projections,hash_dims,flattening
0.15481,4.0,10.0,1600.0,log10
0.1475,1.0,10.0,400.0,log10
0.14534,4.0,10.0,2400.0,log
0.14517,4.0,10.0,1600.0,log2
0.1436,1.0,10.0,1000.0,log10
0.14284,1.0,10.0,800.0,log
0.1422,4.0,10.0,3200.0,log
0.1416,4.0,10.0,2400.0,log10
0.13994,4.0,10.0,800.0,log10
0.13963,1.0,10.0,400.0,log2
0.13908,4.0,10.0,1600.0,log
0.13901,1.0,10.0,800.0,log10
0.13846,4.0,10.0,4000.0,log
0.13844,4.0,10.0,2400.0,log2
0.13836,4.0,8.0,1600.0,log10
0.13835,4.0,8.0,1600.0,log
0.13818,1.0,6.0,600.0,log2
0.13817,4.0,10.0,3200.0,log2
0.13746,4.0,8.0,3200.0,log10
0.13631,4.0,6.0,1600.0,log10
0.13605,4.0,10.0,2400.0,log10
0.13603,1.0,8.0,800.0,log10
0.13578,1.0,10.0,800.0,log10
0.13565,4.0,8.0,800.0,log2
0.13547,4.0,10.0,800.0,log2
0.13542,4.0,10.0,3200.0,log10
0.13498,4.0,10.0,1600.0,log10
0.13479,1.0,10.0,200.0,log10
0.13455,1.0,8.0,1000.0,log2
0.1341,4.0,10.0,3200.0,log10
0.13365,4.0,8.0,1600.0,log10
0.1334,4.0,8.0,800.0,log10
0.13325,4.0,8.0,4000.0,log10
0.13307,4.0,6.0,2400.0,log10
0.13306,4.0,6.0,2400.0,log
0.13301,4.0,8.0,2400.0,log2
0.13278,1.0,10.0,1000.0,log2
0.13277,1.0,10.0,1000.0,log10
0.13256,1.0,10.0,1000.0,log
0.13234,1.0,10.0,800.0,log2
0.13221,1.0,6.0,600.0,log
0.13196,4.0,10.0,4000.0,log10
0.13125,4.0,8.0,3200.0,log
0.13121,1.0,10.0,600.0,log
0.1312,1.0,6.0,600.0,log10
0.13116,1.0,8.0,600.0,log10
0.13097,4.0,8.0,3200.0,log2
0.13009,1.0,10.0,600.0,log10
0.12988,4.0,8.0,4000.0,log
0.12959,4.0,6.0,2400.0,log10
0.12937,4.0,8.0,3200.0,log10
0.12892,1.0,8.0,600.0,log2
0.12874,4.0,8.0,2400.0,log10
0.12844,1.0,8.0,600.0,log10
0.12828,4.0,8.0,800.0,log10
0.12826,4.0,8.0,4000.0,log2
0.12817,4.0,4.0,1600.0,log
0.12813,4.0,10.0,4000.0,log2
0.12797,4.0,8.0,2400.0,log10
0.12786,4.0,8.0,4000.0,log10
0.12766,4.0,8.0,2400.0,log
0.12753,1.0,8.0,200.0,log10
0.12746,4.0,6.0,3200.0,log10
0.12721,4.0,6.0,3200.0,log2
0.12719,1.0,8.0,600.0,log
0.12641,4.0,10.0,800.0,log10
0.12624,4.0,4.0,1600.0,log10
0.12595,4.0,10.0,4000.0,log10
0.12538,4.0,8.0,1600.0,log2
0.12535,4.0,6.0,3200.0,log
0.12462,4.0,4.0,1600.0,log2
0.12444,1.0,8.0,800.0,log
0.12443,4.0,6.0,2400.0,log2
0.12424,4.0,6.0,4000.0,log10
0.12401,1.0,4.0,600.0,log
0.12303,1.0,10.0,400.0,log10
0.12292,4.0,6.0,3200.0,log10
0.12265,1.0,6.0,1000.0,log
0.12259,1.0,10.0,600.0,log2
0.12213,4.0,10.0,800.0,log
0.12104,4.0,6.0,1600.0,log2
0.12083,1.0,6.0,1000.0,log10
0.12072,4.0,8.0,800.0,log
0.12064,4.0,6.0,4000.0,log
0.12014,4.0,4.0,1600.0,log10
0.11985,4.0,6.0,4000.0,log2
0.11955,1.0,10.0,400.0,log
0.11952,1.0,8.0,400.0,log10
0.11944,1.0,10.0,600.0,log10
0.11928,1.0,6.0,800.0,log
0.1192,1.0,8.0,800.0,log2
0.11919,4.0,6.0,4000.0,log10
0.11868,1.0,8.0,1000.0,log10
0.11861,1.0,6.0,400.0,log10
0.11841,1.0,4.0,600.0,log10
0.11814,1.0,6.0,1000.0,log10
0.11793,4.0,6.0,1600.0,log10
0.11773,1.0,6.0,800.0,log10
0.11722,1.0,8.0,1000.0,log
0.11722,4.0,6.0,800.0,log
0.11592,1.0,6.0,600.0,log10
0.11577,4.0,6.0,800.0,log10
0.1157,4.0,6.0,1600.0,log
0.11569,1.0,8.0,800.0,log10
0.11558,1.0,4.0,600.0,log2
0.11422,1.0,8.0,400.0,log
0.11418,1.0,4.0,400.0,log2
0.11358,4.0,4.0,2400.0,log10
0.11203,4.0,6.0,800.0,log10
0.11195,1.0,8.0,400.0,log2
0.11189,4.0,4.0,3200.0,log10
0.11068,1.0,8.0,200.0,log10
0.1104,4.0,4.0,2400.0,log10
0.10986,1.0,8.0,1000.0,log10
0.10922,1.0,6.0,800.0,log10
0.10914,4.0,4.0,3200.0,log10
0.10778,4.0,4.0,3200.0,log2
0.10774,1.0,4.0,800.0,log2
0.10635,1.0,10.0,200.0,log10
0.1062,1.0,6.0,800.0,log2
0.10608,1.0,4.0,400.0,log
0.1059,1.0,4.0,400.0,log10
0.10542,4.0,4.0,2400.0,log2
0.10524,1.0,8.0,400.0,log10
0.10502,4.0,4.0,4000.0,log2
0.1045,4.0,4.0,800.0,log
0.10404,1.0,6.0,1000.0,log2
0.10391,1.0,4.0,600.0,log10
0.10373,4.0,4.0,800.0,log10
0.1036,1.0,4.0,400.0,log10
0.10311,1.0,6.0,400.0,log10
0.10234,4.0,4.0,3200.0,log
0.10132,4.0,6.0,800.0,log2
0.10105,1.0,4.0,1000.0,log10
0.1007,1.0,10.0,200.0,log
0.10051,4.0,4.0,4000.0,log
0.09901,1.0,6.0,200.0,log
0.09762,4.0,4.0,4000.0,log10
0.09745,4.0,4.0,2400.0,log
0.09745,1.0,6.0,400.0,log2
0.09694,1.0,6.0,400.0,log
0.09652,1.0,4.0,1000.0,log2
0.0962,1.0,4.0,800.0,log
0.09597,4.0,4.0,800.0,log2
0.09554,4.0,4.0,4000.0,log10
0.09473,1.0,4.0,800.0,log10
0.09367,1.0,4.0,800.0,log10
0.09298,1.0,10.0,200.0,log2
0.09206,1.0,4.0,1000.0,log10
0.09082,1.0,2.0,400.0,log
0.08996,4.0,2.0,2400.0,log2
0.08962,1.0,2.0,600.0,log10
0.08769,4.0,2.0,1600.0,log10
0.08686,1.0,8.0,200.0,log2
0.08679,4.0,2.0,2400.0,log10
0.08642,1.0,4.0,200.0,log10
0.08583,1.0,4.0,1000.0,log
0.0853,1.0,8.0,200.0,log
0.085,1.0,2.0,400.0,log10
0.08441,4.0,4.0,800.0,log10
0.08411,1.0,2.0,600.0,log2
0.08331,4.0,2.0,3200.0,log
0.08304,1.0,2.0,600.0,log10
0.08184,4.0,2.0,1600.0,log2
0.08087,1.0,4.0,200.0,log2
0.08049,4.0,2.0,1600.0,log10
0.08014,1.0,6.0,200.0,log10
0.08003,1.0,2.0,800.0,log2
0.07984,4.0,2.0,2400.0,log10
0.07967,4.0,2.0,2400.0,log
0.07901,1.0,2.0,600.0,log
0.07892,1.0,2.0,800.0,log10
0.07886,4.0,2.0,800.0,log2
0.07787,1.0,6.0,200.0,log10
0.07763,4.0,2.0,3200.0,log10
0.0738,1.0,6.0,200.0,log2
0.07343,4.0,2.0,1600.0,log
0.07192,4.0,2.0,3200.0,log2
0.07122,1.0,4.0,200.0,log10
0.07101,1.0,2.0,200.0,log
0.07024,1.0,2.0,1000.0,log
0.06997,1.0,2.0,800.0,log10
0.06978,4.0,2.0,4000.0,log10
0.06786,4.0,2.0,800.0,log10
0.06734,4.0,2.0,800.0,log10
0.06666,4.0,2.0,3200.0,log10
0.06484,1.0,4.0,200.0,log
0.06413,4.0,2.0,4000.0,log2
0.06315,1.0,2.0,800.0,log
0.06294,4.0,2.0,4000.0,log
0.06205,1.0,2.0,1000.0,log10
0.06131,1.0,2.0,400.0,log10
0.05916,1.0,2.0,1000.0,log10
0.0587,4.0,2.0,800.0,log
0.05827,4.0,2.0,4000.0,log10
0.05615,1.0,2.0,1000.0,log2
0.05471,1.0,2.0,400.0,log2
0.04999,1.0,2.0,200.0,log2
0.04466,1.0,2.0,200.0,log10
0.0328,1.0,2.0,200.0,log10
