RUN 1:	SP_CORR: 0.12895975625166395	TEST_PAIRS: 2750
RUN 2:	SP_CORR: 0.1482475266386761	TEST_PAIRS: 2897
RUN 3:	SP_CORR: 0.12959338685679828	TEST_PAIRS: 2942
RUN 4:	SP_CORR: 0.14183768016137288	TEST_PAIRS: 2977
RUN 5:	SP_CORR: 0.1591923503296345	TEST_PAIRS: 2981
RUN 6:	SP_CORR: 0.17322121825531223	TEST_PAIRS: 2984
RUN 7:	SP_CORR: 0.18414699866381398	TEST_PAIRS: 2989
RUN 8:	SP_CORR: 0.18219853261923097	TEST_PAIRS: 2993
RUN 9:	SP_CORR: 0.1981361617074733	TEST_PAIRS: 2993
RUN 10:	SP_CORR: 0.2106434902727743	TEST_PAIRS: 2993
RUN 11:	SP_CORR: 0.23367581125987355	TEST_PAIRS: 2993
RUN 12:	SP_CORR: 0.2320634323412415	TEST_PAIRS: 2993
RUN 13:	SP_CORR: 0.2318917003363082	TEST_PAIRS: 2993
RUN 14:	SP_CORR: 0.26905229760023913	TEST_PAIRS: 2993
RUN 15:	SP_CORR: 0.276680307329866	TEST_PAIRS: 2999
RUN 16:	SP_CORR: 0.28137829132807657	TEST_PAIRS: 2999
RUN 17:	SP_CORR: 0.29872350114801816	TEST_PAIRS: 3000
RUN 18:	SP_CORR: 0.307505545512838	TEST_PAIRS: 3000
RUN 19:	SP_CORR: 0.3121789007368617	TEST_PAIRS: 3000
RUN 20:	SP_CORR: 0.3244839913227412	TEST_PAIRS: 3000
RUN 21:	SP_CORR: 0.3392079384694124	TEST_PAIRS: 3000
RUN 22:	SP_CORR: 0.3420014952394444	TEST_PAIRS: 3000
RUN 23:	SP_CORR: 0.3488923008965026	TEST_PAIRS: 3000
RUN 24:	SP_CORR: 0.35989925033140724	TEST_PAIRS: 3000
RUN 25:	SP_CORR: 0.3590244892632666	TEST_PAIRS: 3000
RUN 26:	SP_CORR: 0.3900737176624273	TEST_PAIRS: 3000
RUN 27:	SP_CORR: 0.38403320365418436	TEST_PAIRS: 3000
RUN 28:	SP_CORR: 0.39588577358621724	TEST_PAIRS: 3000
RUN 29:	SP_CORR: 0.4044068125157697	TEST_PAIRS: 3000
RUN 30:	SP_CORR: 0.40018693689431145	TEST_PAIRS: 3000
RUN 31:	SP_CORR: 0.4074100954162473	TEST_PAIRS: 3000
RUN 32:	SP_CORR: 0.4142398726787963	TEST_PAIRS: 3000
RUN 33:	SP_CORR: 0.4251149017568799	TEST_PAIRS: 3000
RUN 34:	SP_CORR: 0.42269061937798946	TEST_PAIRS: 3000
RUN 35:	SP_CORR: 0.4205983264237459	TEST_PAIRS: 3000
RUN 36:	SP_CORR: 0.436116262881448	TEST_PAIRS: 3000
RUN 37:	SP_CORR: 0.4399375701623061	TEST_PAIRS: 3000
RUN 38:	SP_CORR: 0.4455538396112274	TEST_PAIRS: 3000
RUN 39:	SP_CORR: 0.43633550692247397	TEST_PAIRS: 3000
RUN 40:	SP_CORR: 0.4482978111302592	TEST_PAIRS: 3000
RUN 41:	SP_CORR: 0.4547747150478702	TEST_PAIRS: 3000
RUN 42:	SP_CORR: 0.4606514248769723	TEST_PAIRS: 3000
RUN 43:	SP_CORR: 0.459703761032864	TEST_PAIRS: 3000
RUN 44:	SP_CORR: 0.46545912183667537	TEST_PAIRS: 3000
RUN 45:	SP_CORR: 0.4728335315122419	TEST_PAIRS: 3000
RUN 46:	SP_CORR: 0.4676480581051622	TEST_PAIRS: 3000
RUN 47:	SP_CORR: 0.4800697963335315	TEST_PAIRS: 3000
RUN 48:	SP_CORR: 0.472931652149894	TEST_PAIRS: 3000
RUN 49:	SP_CORR: 0.4782882596698197	TEST_PAIRS: 3000
RUN 50:	SP_CORR: 0.47878666782039253	TEST_PAIRS: 3000
RUN 51:	SP_CORR: 0.485409940344437	TEST_PAIRS: 3000
RUN 52:	SP_CORR: 0.49399162022120685	TEST_PAIRS: 3000
RUN 53:	SP_CORR: 0.4922485308658653	TEST_PAIRS: 3000
RUN 54:	SP_CORR: 0.4909747179815881	TEST_PAIRS: 3000
RUN 55:	SP_CORR: 0.4962860188422938	TEST_PAIRS: 3000
RUN 56:	SP_CORR: 0.49533949800103944	TEST_PAIRS: 3000
RUN 57:	SP_CORR: 0.502936375332449	TEST_PAIRS: 3000
RUN 58:	SP_CORR: 0.5010721201168014	TEST_PAIRS: 3000
RUN 59:	SP_CORR: 0.5001491937708678	TEST_PAIRS: 3000
RUN 60:	SP_CORR: 0.5061791680124199	TEST_PAIRS: 3000
RUN 61:	SP_CORR: 0.5238347305358102	TEST_PAIRS: 3000
RUN 62:	SP_CORR: 0.513840452065327	TEST_PAIRS: 3000
RUN 63:	SP_CORR: 0.516832048195083	TEST_PAIRS: 3000
RUN 64:	SP_CORR: 0.527730022021824	TEST_PAIRS: 3000
RUN 65:	SP_CORR: 0.5240232839943686	TEST_PAIRS: 3000
RUN 66:	SP_CORR: 0.5242866496794034	TEST_PAIRS: 3000
RUN 67:	SP_CORR: 0.5280459649489938	TEST_PAIRS: 3000
RUN 68:	SP_CORR: 0.5256441534015913	TEST_PAIRS: 3000
RUN 69:	SP_CORR: 0.5273211330901095	TEST_PAIRS: 3000
RUN 70:	SP_CORR: 0.5361637915053468	TEST_PAIRS: 3000
RUN 71:	SP_CORR: 0.5311204203387382	TEST_PAIRS: 3000
RUN 72:	SP_CORR: 0.5353367035702462	TEST_PAIRS: 3000
RUN 73:	SP_CORR: 0.5441503894638987	TEST_PAIRS: 3000
RUN 74:	SP_CORR: 0.5436873892833017	TEST_PAIRS: 3000
RUN 75:	SP_CORR: 0.5391276794854031	TEST_PAIRS: 3000
RUN 76:	SP_CORR: 0.5476514921196644	TEST_PAIRS: 3000
